"week","game","deadline"
"1","Purple Haze vs. Snack Time","01/22/23"
"1","Generation M vs. Sheep Dogs","01/22/23"
"1","White Walkers vs. Powered Gaming Dragons","01/22/23"
"1","Seattle Buckets vs. Purple Haze","01/22/23"
"1","Generation M vs. White Walkers","01/22/23"
"1","Sheep Dogs vs. Snack Time","01/22/23"
"1","Seattle Buckets vs. Powered Gaming Dragons","01/22/23"
"2","Purple Haze vs. Generation M","01/29/23"
"2","Snack Time vs. Powered Gaming Dragons","01/29/23"
"2","White Walkers vs. Purple Haze","01/29/23"
"2","Sheep Dogs vs. Fiji Kings","01/29/23"
"2","Generation M vs. Snack Time","01/29/23"
"2","Seattle Buckets vs. White Walkers","01/29/23"
"2","Powered Gaming Dragons vs. Sheep Dogs","01/29/23"
"2","Fiji Kings vs. Seattle Buckets","01/29/23"
